"Gene","KEGG_ID"
"taes:100037593","taes:100037593"
"taes:100038341","taes:100038341"
"taes:100125727","taes:100125727"
"taes:100415821","taes:100415821"
"taes:100415882","taes:100415882"
"taes:100682413","taes:100682413"
"taes:100682438","taes:100682438"
"taes:123038214","taes:123038214"
"taes:123038239","taes:123038239"
"taes:123038886","taes:123038886"
"taes:123040414","taes:123040414"
"taes:123040507","taes:123040507"
"taes:123041226","taes:123041226"
"taes:123041484","taes:123041484"
"taes:123042693","taes:123042693"
"taes:123043050","taes:123043050"
"taes:123043077","taes:123043077"
"taes:123043125","taes:123043125"
"taes:123044164","taes:123044164"
"taes:123044210","taes:123044210"
"taes:123044310","taes:123044310"
"taes:123044403","taes:123044403"
"taes:123044845","taes:123044845"
"taes:123045367","taes:123045367"
"taes:123045648","taes:123045648"
"taes:123045649","taes:123045649"
"taes:123045650","taes:123045650"
"taes:123045651","taes:123045651"
"taes:123045652","taes:123045652"
"taes:123045718","taes:123045718"
"taes:123046171","taes:123046171"
"taes:123046536","taes:123046536"
"taes:123046576","taes:123046576"
"taes:123047018","taes:123047018"
"taes:123047406","taes:123047406"
"taes:123048534","taes:123048534"
"taes:123048583","taes:123048583"
"taes:123048584","taes:123048584"
"taes:123049463","taes:123049463"
"taes:123049464","taes:123049464"
"taes:123049465","taes:123049465"
"taes:123050951","taes:123050951"
"taes:123050972","taes:123050972"
"taes:123051026","taes:123051026"
"taes:123051406","taes:123051406"
"taes:123051905","taes:123051905"
"taes:123052045","taes:123052045"
"taes:123052105","taes:123052105"
"taes:123052184","taes:123052184"
"taes:123052685","taes:123052685"
"taes:123053209","taes:123053209"
"taes:123053520","taes:123053520"
"taes:123053522","taes:123053522"
"taes:123053523","taes:123053523"
"taes:123053524","taes:123053524"
"taes:123053591","taes:123053591"
"taes:123054052","taes:123054052"
"taes:123054394","taes:123054394"
"taes:123054850","taes:123054850"
"taes:123055206","taes:123055206"
"taes:123055209","taes:123055209"
"taes:123056704","taes:123056704"
"taes:123057722","taes:123057722"
"taes:123058727","taes:123058727"
"taes:123058749","taes:123058749"
"taes:123058761","taes:123058761"
"taes:123058789","taes:123058789"
"taes:123058951","taes:123058951"
"taes:123059824","taes:123059824"
"taes:123059928","taes:123059928"
"taes:123060138","taes:123060138"
