"Metabolite","KEGG_ID"
"(-)-maackiain","C10502"
"(-)-sophorol","C16228"
"(2-aminoethyl)phosphonate","C03557"
"(2E)-hexadecenal","C06123"
"(2S)-2-amino-3-oxo-4-phosphonooxybutanoate","C07335"
"(2S)-2-isopropyl-3-oxosuccinate","C04236"
"(2S)-2-isopropylmalate","C02504"
"(2S)-naringenin","C00509"
"(4-hydroxyphenyl)acetaldehyde","C03765"
"(6E)-8-hydroxygeraniol","C17621"
"(E)-indol-3-ylacetaldoxime","C02937"
"(R)-2-benzylsuccinate","C09816"
"(R)-lipoate","C16241"
"(R)-pantothenate","C00864"
"(S)-2-amino-6-oxohexanoate","C03531"
"(S)-2-aminobutanoate","C02356"
"(S)-lactaldehyde","C00424"
"(S)-malate","C00149"
"[5-(aminomethyl)furan-3-yl]methyl phosphate","C21068"
"1-(beta-D ribofuranosyl)nicotinamide","C03150"
"18-hydroxyoleate","C19616"
"1-aminocyclopropane-1-carboxylate","C01234"
"1-deoxy-L-glycero-tetrulose 4-phosphate","C15556"
"1-guanidino-1-deoxy-scyllo-inositol 4-phosphate","C01294"
"1-pyrroline-5-carboxylate","C03912"
"2-(4-hydroxyphenyl)-2-oxoacetate","C03590"
"2-amino-5-formylamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one","C15563"
"2-C-methyl-D-erythritol 4-phosphate","C11434"
"2-dehydropantolactone","C01125"
"2'-deoxyadenosine","C00131"
"2'-deoxycytidine","C00239"
"2-deoxy-D-glucose 6-phosphate","C06369"
"2'-deoxyguanosine","C00286"
"2'-deoxyinosine","C01344"
"2'-deoxyuridine","C00365"
"2-deoxy-alpha-D-ribose 1-phosphate","C00672"
"2-hydroxybutanoate","C00659"
"2'-hydroxygenistein","C12134"
"2-hydroxyglutarate","C01087"
"2'-hydroxypseudobaptigenin","C03662"
"2-iminoacetate","C15809"
"2-iminobutanoate","C20905"
"2-iminopropanoate","C20904"
"2-methylbutanal","C02223"
"2-methylbutanoate","C03571"
"2-oxo-4-methylthiobutanoate","C01180"
"2-oxoglutaramate","C00940"
"2-oxoglutarate","C00026"
"2-oxovalerate","C03589"
"2-phosphoglycolate","C00988"
"2-succinylbenzoate","C02730"
"3-(4-hydroxyphenyl)lactate","C03672"
"3-(methylthio)propanoate","C08276"
"3-dehydrocarnitine","C02636"
"3-dehydroquinate","C00944"
"3-dehydrosphinganine","C02934"
"3-dehydroteasterone","C15792"
"3-ethylmalate","C01989"
"3-hydroxy-5-oxohexanoate","C16272"
"3-hydroxy-L-kynurenine","C03227"
"3-methoxytyramine","C05587"
"3-methyl-2-oxobutanoate","C00141"
"3-Methylhistidine","C01152"
"3-phospho-D-glycerate","C00197"
"3-phospho-L-serine","C01005"
"3-sulfinoalanine","C00606"
"3-sulfolactaldehyde","C21181"
"4-amino-2-methyl-5-pyrimidinemethanol","C01279"
"4-amino-5-imidazole carboxylate","C05516"
"4-aminoimidazole","C05239"
"4-aminophenol","C02372"
"4-coumarate","C00811"
"4-coumaroylshikimate","C02947"
"4-coumaryl alcohol","C02646"
"4-guanidinobutanoate","C01035"
"4-hydroxy-2-oxohexanoate","C06762"
"4-hydroxybenzaldehyde","C00633"
"4-hydroxybenzoate","C00156"
"4-hydroxymandelate","C03198"
"4-imidazolone","C03680"
"4-imidazolone-5-propanoate","C03680"
"4-methyl-2-oxopentanoate","C00233"
"4-methyl-5-nitrocatechol","C18315"
"4-methylphenol","C01468"
"4'-phosphopantetheine","C01134"
"4-pyridoxate","C00847"
"4-ureido-5-imidazole carboxylate","C05515"
"5-amino-5-deoxy-3-dehydroshikimate","C12108"
"5-aminopentanoate","C00431"
"5'-deoxy-5'-fluoroadenosine","C19766"
"5-hydroxyferulate","C05619"
"5-hydroxy-L-lysine","C01211"
"5-hydroxy-L-tryptophan","C00643"
"5-Methylcytosine","C02376"
"5-oxo-L-proline","C01879"
"6-deoxotyphasterol","C15801"
"6-pyruvoyl tetrahydropterin","C03684"
"7-carboxy-7-deazaguanine","C20248"
"7-Methylguanine","C02242"
"7-Methylguanosine","C02339"
"8-amino-7-oxononanoate","C01092"
