"","name","CleanNames","ShortAnnotation","Description"
"1","'CAR 32:2/Cer 39:3;O3'","CAR 32:2 | Cer 39:3;O3","Acyl carnitines | Ceramides","MainClass=[Acyl carnitines | Ceramides],ExtendedClass=[Acyl carnitines | Sterols],FunctionalClass=[Acyl carnitines | PhytoCer],Mass=[619.553960075 | 619.553959],Formula=[C39H73NO4]"
"2","'CAR 34:4/Cer 41:5;O3'","CAR 34:4 | Cer 41:5;O3","Acyl carnitines | Ceramides","MainClass=[Acyl carnitines | Ceramides],ExtendedClass=[Acyl carnitines | Sterols],FunctionalClass=[Acyl carnitines | PhytoCer],Mass=[643.553960075 | 643.553959],Formula=[C41H73NO4]"
"3","'Cer 37:0;O6'","Cer 37:0;O6","Ceramides","MainClass=[Ceramides],ExtendedClass=[Ceramides],FunctionalClass=[Ceramides],Mass=[645.554354035],Formula=[C37H75NO7]"
"4","'Cer 42:5;O2'","Cer 42:5;O2","Ceramides","MainClass=[Ceramides],ExtendedClass=[Sterols],FunctionalClass=[Ceramides],Mass=[641.574694],Formula=[C42H75NO3]"
"5","'FA 20:1'","FA 20:1","Fatty acids","MainClass=[Fatty acids],ExtendedClass=[Fatty acids],FunctionalClass=[Fatty acids],Mass=[310.28718059],Formula=[C20H38O2]"
"6","'HexCer 33:1;O3'","HexCer 33:1;O3","Glycosphingolipids","MainClass=[Glycosphingolipids],ExtendedClass=[Sterols],FunctionalClass=[Hexosylceramides],Mass=[701.544184],Formula=[C39H75NO9]"
"7","'NAE 17:0/SPB 19:1;O2'","NAE 17:0 | SPB 19:1;O2","N-acyl ethanolamines | Sphingoid bases","MainClass=[N-acyl ethanolamines | Sphingoid bases],ExtendedClass=[N-acyl ethanolamines | Sphingoid bases],FunctionalClass=[N-acyl ethanolamines | Sphingoid bases],Mass=[313.298079625],Formula=[C19H39NO2]"
"8","'NAT 15:0;O4'","NAT 15:0;O4","N-acyl taurines","MainClass=[N-acyl taurines],ExtendedClass=[N-acyl taurines],FunctionalClass=[N-acyl taurines],Mass=[413.208337965],Formula=[C17H35NO8S]"
"9","'PC 37:10;O/PE 40:10;O/PS O-39:10'","PC 37:10;O | PE 40:10;O | PS O-39:10","Phosphatidylcholines | Glycerophosphoethanolamines | Phosphatidylserines","MainClass=[Phosphatidylcholines | Glycerophosphoethanolamines | Phosphatidylserines],ExtendedClass=[Phosphatidylcholines | Sterols | Phosphatidylserines],FunctionalClass=[Phosphatidylcholines | Ox-PE | Phosphatidylserines],Mass=[799.47882012 | 799.478822],Formula=[C45H70NO9P]"
"10","'SPB 15:2;O'","SPB 15:2;O","Sphingoid bases","MainClass=[Sphingoid bases],ExtendedClass=[Sphingoid bases],FunctionalClass=[Sphingoid bases],Mass=[239.224914645],Formula=[C15H29NO]"
"11","'SPB 18:1;O'","SPB 18:1;O","Sphingoid bases","MainClass=[Sphingoid bases],ExtendedClass=[Sphingoid bases],FunctionalClass=[Sphingoid bases],Mass=[283.287514925],Formula=[C18H37NO]"
"12","'SPB 19:1;O'","SPB 19:1;O","Sphingoid bases","MainClass=[Sphingoid bases],ExtendedClass=[Sphingoid bases],FunctionalClass=[Sphingoid bases],Mass=[297.303164995],Formula=[C19H39NO]"
"13","'ST 18:0;O7;S'","ST 18:0;O7;S","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sulfate conjugates(In-silico)],Mass=[438.155972],Formula=[C18H30O10S]"
"14","'ST 30:0;O2;GlCA/ST 30:1;O3;Hex/TG 33:3;O2/TG O-33:4;O3'","NA | TG 33:3;O2 | TG O-33:4;O3","NA | Triacyl alkylglycerides","MainClass=[NA | Triacyl alkylglycerides],ExtendedClass=[NA | Triacyl alkylglycerides],FunctionalClass=[NA | Triacyl alkylglycerides],Mass=[NA | 622.44446921],Formula=[NA | C36H62O8]"
"15","'TG 35:3;O2/TG O-35:4;O3'","TG 35:3;O2 | TG O-35:4;O3","Triacyl alkylglycerides","MainClass=[Triacyl alkylglycerides],ExtendedClass=[Triacyl alkylglycerides],FunctionalClass=[Triacyl alkylglycerides],Mass=[650.47576935],Formula=[C38H66O8]"
"16","'BMP 30:0/LPG 30:1;O/PG 30:0/PG O-30:1;O'","BMP 30:0 | LPG 30:1;O | PG 30:0 | PG O-30:1;O","Bismonoacylglycerophosphates | lysophosphatidylglycerol | Glycerophosphoglycerols | Phosphatidylglycerols","MainClass=[Bismonoacylglycerophosphates | lysophosphatidylglycerol | Glycerophosphoglycerols | Phosphatidylglycerols],ExtendedClass=[Bismonoacylglycerophosphates | lysophosphatidylglycerol | Sterols | Phosphatidylglycerols],FunctionalClass=[Bismonoacylglycerophosphates | lysophosphatidylglycerol | Phosphatidylglycerols],Mass=[694.478485785 | 694.478488],Formula=[C36H71O10P]"
"17","'CAR 28:1;O4/HexCer 29:1;O2'","CAR 28:1;O4 | HexCer 29:1;O2","Acyl carnitines | Glycosphingolipids","MainClass=[Acyl carnitines | Glycosphingolipids],ExtendedClass=[Acyl carnitines | Sterols],FunctionalClass=[Acyl carnitines | Hexosylceramides],Mass=[629.486668385 | 629.486669],Formula=[C35H67NO8]"
"18","'Cer 40:4;O'","Cer 40:4;O","Ceramides","MainClass=[Ceramides],ExtendedClass=[Ceramides],FunctionalClass=[Ceramides],Mass=[599.564130815],Formula=[C40H73NO2]"
"19","'Cer 40:6;O2'","Cer 40:6;O2","Ceramides","MainClass=[Ceramides],ExtendedClass=[Sterols],FunctionalClass=[Ceramides],Mass=[611.527744],Formula=[C40H69NO3]"
"20","'COA 15:0'","NA","NA","MainClass=[NA],ExtendedClass=[NA],FunctionalClass=[NA],Mass=[NA],Formula=[NA]"
"21","'DG 21:3;O/DG O-21:4;O2/FA 24:4;O4/ST 18:0;O;Hex/ST 24:1;O6'","DG 21:3;O | DG O-21:4;O2 | FA 24:4;O4 | ST 18:0;O;Hex | ST 24:1;O6","Diacyl alkylglycerides | Fatty acids | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Fatty acids | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Fatty acids | Sterols],FunctionalClass=[Diacyl alkylglycerides | Fatty acids | Hexose conjugates(In-silico) | Sterols/C24 Bile acids(In-silico)],Mass=[424.28248918 | 424.282490],Formula=[C24H40O6]"
"22","'DG 22:3;O/DG O-22:4;O2/FA 25:4;O4/ST 19:0;O;Hex/ST 25:1;O6'","DG 22:3;O | DG O-22:4;O2 | FA 25:4;O4 | ST 19:0;O;Hex | ST 25:1;O6","Diacyl alkylglycerides | Fatty acids | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Fatty acids | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Fatty acids | Sterols],FunctionalClass=[Diacyl alkylglycerides | Fatty acids | Hexose conjugates(In-silico) | Sterols/C25 Bile acids(In-silico)],Mass=[438.29813925 | 438.298140],Formula=[C25H42O6]"
"23","'DG 22:3;O2/ST 19:0;O2;Hex/ST 25:1;O7'","DG 22:3;O2 | ST 19:0;O2;Hex | ST 25:1;O7","Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Sterols],FunctionalClass=[Diacyl alkylglycerides | Hexose conjugates(In-silico) | Sterols/C25 Bile acids(In-silico)],Mass=[454.29305388 | 454.293055],Formula=[C25H42O7]"
"24","'DG 23:3;O/DG O-23:4;O2/FA 26:4;O4/ST 20:0;O;Hex/ST 26:1;O6'","DG 23:3;O | DG O-23:4;O2 | FA 26:4;O4 | ST 20:0;O;Hex | ST 26:1;O6","Diacyl alkylglycerides | Fatty acids | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Fatty acids | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Fatty acids | Sterols],FunctionalClass=[Diacyl alkylglycerides | Fatty acids | Hexose conjugates(In-silico) | Sterols/C26 Bile acids(In-silico)],Mass=[452.31378932 | 452.313790],Formula=[C26H44O6]"
"25","'DG 23:3;O2/ST 20:0;O2;Hex/ST 26:1;O7'","DG 23:3;O2 | ST 20:0;O2;Hex | ST 26:1;O7","Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Sterols],FunctionalClass=[Diacyl alkylglycerides | Hexose conjugates(In-silico) | Sterols/C26 Bile acids(In-silico)],Mass=[468.30870395 | 468.308705],Formula=[C26H44O7]"
"26","'DG 24:3;O/DG O-24:4;O2/FA 27:4;O4/ST 21:0;O;Hex/ST 27:1;O6'","DG 24:3;O | DG O-24:4;O2 | FA 27:4;O4 | ST 21:0;O;Hex | ST 27:1;O6","Diacyl alkylglycerides | Fatty acids | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Fatty acids | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Fatty acids | Sterols],FunctionalClass=[Diacyl alkylglycerides | Fatty acids | Hexose conjugates(In-silico) | Sterols/C27 Bile acids(In-silico)],Mass=[466.32943939 | 466.329440],Formula=[C27H46O6]"
"27","'DG 24:3;O2/ST 21:0;O2;Hex/ST 27:1;O7'","DG 24:3;O2 | ST 21:0;O2;Hex | ST 27:1;O7","Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Sterols],FunctionalClass=[Diacyl alkylglycerides | Hexose conjugates(In-silico) | Sterols/C27 Bile acids(In-silico)],Mass=[482.32435402 | 482.324355],Formula=[C27H46O7]"
"28","'DG 25:3;O2/ST 22:0;O2;Hex/ST 28:1;O7'","DG 25:3;O2 | ST 22:0;O2;Hex | ST 28:1;O7","Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Sterols],FunctionalClass=[Diacyl alkylglycerides | Hexose conjugates(In-silico) | Sterols/C28 Bile acids(In-silico)],Mass=[496.34000409 | 496.340005],Formula=[C28H48O7]"
"29","'DG 26:3;O2/ST 23:0;O2;Hex/ST 29:1;O7'","DG 26:3;O2 | ST 23:0;O2;Hex | ST 29:1;O7","Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Sterols],FunctionalClass=[Diacyl alkylglycerides | Hexose conjugates(In-silico) | Sterols/C29 Bile acids(In-silico)],Mass=[510.35565416 | 510.355655],Formula=[C29H50O7]"
"30","'DG O-26:0/FA 29:0;O2/MG 26:0/MG O-26:1;O'","DG O-26:0 | FA 29:0;O2 | MG 26:0 | MG O-26:1;O","Diradylglycerols | Fatty acids | Monoradylglycerols | Monoacyl alkylglycerides","MainClass=[Diradylglycerols | Fatty acids | Monoradylglycerols | Monoacyl alkylglycerides],ExtendedClass=[Sterols | Fatty acids | Monoacyl alkylglycerides],FunctionalClass=[O-DG | Fatty acids | MAG | Monoacyl alkylglycerides],Mass=[470.433510 | 470.43351055],Formula=[C29H58O4]"
"31","'FA 22:4;O4/ST 22:1;O6'","FA 22:4;O4 | ST 22:1;O6","Fatty acids | Sterols/Bile acids(In-silico)","MainClass=[Fatty acids | Sterols/Bile acids(In-silico)],ExtendedClass=[Fatty acids | Sterols],FunctionalClass=[Fatty acids | Sterols/C22 Bile acids(In-silico)],Mass=[396.25118904 | 396.251190],Formula=[C22H36O6]"
"32","'LPA O-33:3'","LPA O-33:3","Lipoprotein A","MainClass=[Lipoprotein A],ExtendedClass=[Lipoprotein A],FunctionalClass=[Lipoprotein A],Mass=[628.483177195],Formula=[C36H69O6P]"
"33","'MG O-16:0;O'","MG O-16:0;O","Monoacyl alkylglycerides","MainClass=[Monoacyl alkylglycerides],ExtendedClass=[Monoacyl alkylglycerides],FunctionalClass=[Monoacyl alkylglycerides],Mass=[332.29265992],Formula=[C19H40O4]"
"34","'MG O-18:0;O'","MG O-18:0;O","Monoacyl alkylglycerides","MainClass=[Monoacyl alkylglycerides],ExtendedClass=[Monoacyl alkylglycerides],FunctionalClass=[Monoacyl alkylglycerides],Mass=[360.32396006],Formula=[C21H44O4]"
"35","'MG O-20:0;O'","MG O-20:0;O","Monoacyl alkylglycerides","MainClass=[Monoacyl alkylglycerides],ExtendedClass=[Monoacyl alkylglycerides],FunctionalClass=[Monoacyl alkylglycerides],Mass=[388.3552602],Formula=[C23H48O4]"
"36","'MG O-30:0;O'","MG O-30:0;O","Monoacyl alkylglycerides","MainClass=[Monoacyl alkylglycerides],ExtendedClass=[Monoacyl alkylglycerides],FunctionalClass=[Monoacyl alkylglycerides],Mass=[528.5117609],Formula=[C33H68O4]"
"37","'NAT 32:2;O'","NAT 32:2;O","N-acyl taurines","MainClass=[N-acyl taurines],ExtendedClass=[N-acyl taurines],FunctionalClass=[N-acyl taurines],Mass=[599.458345125],Formula=[C34H65NO5S]"
"38","'PC 33:7/PC O-33:8;O/PE 36:7/PE O-36:8;O'","PC 33:7 | PC O-33:8;O | PE 36:7 | PE O-36:8;O","Glycerophosphocholines | Phosphatidylcholines | Glycerophosphoethanolamines | Phosphatidylethanolamines","MainClass=[Glycerophosphocholines | Phosphatidylcholines | Glycerophosphoethanolamines | Phosphatidylethanolamines],ExtendedClass=[Sterols | PC O-phospholipids | PE O],FunctionalClass=[Phosphatidylcholines | Phosphatidylethanolamines],Mass=[733.468257 | 733.46825542],Formula=[C41H68NO8P]"
"39","'PC 34:7/PC O-34:8;O/PE 37:7/PE O-37:8;O'","PC 34:7 | PC O-34:8;O | PE 37:7 | PE O-37:8;O","Glycerophosphocholines | Phosphatidylcholines | Glycerophosphoethanolamines | Phosphatidylethanolamines","MainClass=[Glycerophosphocholines | Phosphatidylcholines | Glycerophosphoethanolamines | Phosphatidylethanolamines],ExtendedClass=[Sterols | PC O-phospholipids | PE O],FunctionalClass=[Phosphatidylcholines | Phosphatidylethanolamines],Mass=[747.483907 | 747.48390549],Formula=[C42H70NO8P]"
"40","'PC 35:7/PC O-35:8;O/PE 38:7/PE O-38:8;O'","PC 35:7 | PC O-35:8;O | PE 38:7 | PE O-38:8;O","Glycerophosphocholines | Phosphatidylcholines | Glycerophosphoethanolamines","MainClass=[Glycerophosphocholines | Phosphatidylcholines | Glycerophosphoethanolamines],ExtendedClass=[Sterols | PC O-phospholipids],FunctionalClass=[Phosphatidylcholines | Phosphatidylethanolamines | O-PE],Mass=[761.499557 | 761.49955556],Formula=[C43H72NO8P]"
"41","'PC 36:7;O/PE 39:7;O/PS O-38:7'","PC 36:7;O | PE 39:7;O | PS O-38:7","Glycerophosphocholines | Phosphatidylethanolamines | Glycerophosphoserines","MainClass=[Glycerophosphocholines | Phosphatidylethanolamines | Glycerophosphoserines],ExtendedClass=[Sterols | Phosphatidylethanolamines],FunctionalClass=[Ox-PC | Phosphatidylethanolamines | O-PS],Mass=[791.510122 | 791.51012026],Formula=[C44H74NO9P]"
"42","'PC 37:7;O/PE 40:7;O/PS O-39:7'","PC 37:7;O | PE 40:7;O | PS O-39:7","Phosphatidylcholines | Glycerophosphoethanolamines | Phosphatidylserines","MainClass=[Phosphatidylcholines | Glycerophosphoethanolamines | Phosphatidylserines],ExtendedClass=[Phosphatidylcholines | Sterols | Phosphatidylserines],FunctionalClass=[Phosphatidylcholines | Ox-PE | Phosphatidylserines],Mass=[805.52577033 | 805.525772],Formula=[C45H76NO9P]"
"43","'PIP 42:7'","PIP 42:7","Phosphatidylinositol-monophosphates","MainClass=[Phosphatidylinositol-monophosphates],ExtendedClass=[Phosphatidylinositol-monophosphates],FunctionalClass=[Phosphatidylinositol-monophosphates],Mass=[1016.53911109],Formula=[C51H86O16P2]"
"44","'PIP 44:7;O'","PIP 44:7;O","Phosphatidylinositol-monophosphates","MainClass=[Phosphatidylinositol-monophosphates],ExtendedClass=[Phosphatidylinositol-monophosphates],FunctionalClass=[Phosphatidylinositol-monophosphates],Mass=[1060.56532586],Formula=[C53H90O17P2]"
"45","'PIP 44:8'","PIP 44:8","Phosphatidylinositol-monophosphates","MainClass=[Phosphatidylinositol-monophosphates],ExtendedClass=[Phosphatidylinositol-monophosphates],FunctionalClass=[Phosphatidylinositol-monophosphates],Mass=[1042.55476116],Formula=[C53H88O16P2]"
"46","'PIP 44:8;O'","PIP 44:8;O","Phosphatidylinositol-monophosphates","MainClass=[Phosphatidylinositol-monophosphates],ExtendedClass=[Phosphatidylinositol-monophosphates],FunctionalClass=[Phosphatidylinositol-monophosphates],Mass=[1058.54967579],Formula=[C53H88O17P2]"
"47","'PS 30:8'","PS 30:8","Glycerophosphoserines","MainClass=[Glycerophosphoserines],ExtendedClass=[Sterols],FunctionalClass=[Phosphatidylserines],Mass=[691.348537],Formula=[C36H54NO10P]"
"48","'ST 18:3;O7;S'","ST 18:3;O7;S","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sulfate conjugates(In-silico)],Mass=[432.109022],Formula=[C18H24O10S]"
"49","'ST 19:0;O6;Hex'","ST 19:0;O6;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[518.272715],Formula=[C25H42O11]"
"50","'ST 19:1;O8'","ST 19:1;O8","Steroids","MainClass=[Steroids],ExtendedClass=[Sterols],FunctionalClass=[C19 Steroids],Mass=[386.194070],Formula=[C19H30O8]"
"51","'ST 21:0;O3;Hex/ST 27:1;O8'","ST 21:0;O3;Hex | ST 27:1;O8","Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico) | Sterols/C27 Bile acids(In-silico)],Mass=[498.319270],Formula=[C27H46O8]"
"52","'ST 21:0;O4;Hex'","ST 21:0;O4;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[514.314185],Formula=[C27H46O9]"
"53","'ST 21:0;O7;Hex'","ST 21:0;O7;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[562.298930],Formula=[C27H46O12]"
"54","'ST 22:0;O3;Hex/ST 28:1;O8'","ST 22:0;O3;Hex | ST 28:1;O8","Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico) | Sterols/C28 Bile acids(In-silico)],Mass=[512.334920],Formula=[C28H48O8]"
"55","'ST 22:0;O4;Hex'","ST 22:0;O4;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[528.329835],Formula=[C28H48O9]"
"56","'ST 22:6;O5'","ST 22:6;O5","Sterols/Bile acids(In-silico)","MainClass=[Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Sterols/C22 Bile acids(In-silico)],Mass=[370.178025],Formula=[C22H26O5]"
"57","'ST 23:0;O3;Hex/ST 29:1;O8'","ST 23:0;O3;Hex | ST 29:1;O8","Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico) | Sterols/C29 Bile acids(In-silico)],Mass=[526.350570],Formula=[C29H50O8]"
"58","'ST 23:0;O4;Hex'","ST 23:0;O4;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[542.345485],Formula=[C29H50O9]"
"59","'ST 23:0;O8;Hex'","ST 23:0;O8;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[606.325145],Formula=[C29H50O13]"
