"","Factor1","Factor2","Factor3","Factor4"
"category",0.447225417392175,3.58689278689767e-05,0.000110909548406887,0.252525843800165
"mean relative growth rate",0.219695997050961,0.688975825338892,0.145403259863301,0.373618797419902
"OrbiSIMS honeydew weight",0.938307120439079,0.292084036277344,0.25065497587502,0.611489591306128
"LC-MS honeydew weight",0.63490865420541,0.893486239903136,0.178856927189601,0.423861182923665
"7dai %severity",0.0130324265921034,0.917573844194344,0.673174376681128,0.0320242434130244
"14dai %severity",0.0604007593209093,0.866552708686741,0.40012945887351,0.285728103843635
"21dai %severity",0.0276415984219363,0.681619096770587,0.320463306565753,0.844311119674814
"28dai %severity",0.125875374349081,0.235585104987257,0.0410053071849903,0.805575750353184
"DONwt",4.2333062779154e-05,0.0109576307953666,0.00848123569994608,0.608639609436654
"Mock",2.19338043706808e-05,0.994225758687916,0.00733831185214922,0.992679198193139
"NIVko",0.184553295705294,0.0635052940974597,1.34480311265415e-06,0.152631308019748
"NIVwt",0.157689184494375,4.52179944620621e-09,0.250333381124564,0.0470225219805086
