"Feature","View","Weight","AdjWeight"
"L-serine","LCMS-Aphid",-0.87937605381012,-1
"L-valine","LCMS-Aphid",-0.879043340682983,-0.999621648638606
"4-(3-pyridyl)-3-butenoate","LCMS-Aphid",-0.841992318630219,-0.957488340718483
"2-oxoglutaramate","LCMS-Aphid",-0.827598810195923,-0.941120475830723
"ophthalmate","LCMS-Aphid",-0.814262866973877,-0.925955242294666
"beta-alanine","LCMS-Aphid",-0.797526001930237,-0.906922582750296
"56-dihydrouracil","LCMS-Aphid",-0.794805884361267,-0.903829346861981
"maleamate","LCMS-Aphid",-0.78694874048233,-0.894894439156804
"trans-homoaconitate","LCMS-Aphid",-0.785263419151306,-0.892977942427422
"N-acetyl-L-citrulline","LCMS-Aphid",-0.784050464630127,-0.891598607027141
"L-asparagine","LCMS-Aphid",-0.779254794120789,-0.886145114760028
"orotate","LCMS-Aphid",-0.748777091503143,-0.851486788000284
"6-pyruvoyl tetrahydropterin","LCMS-Aphid",-0.721254527568817,-0.820188956071523
"norophthalmate","LCMS-Aphid",-0.719989955425262,-0.818750922663545
"L-2-aminoadipate","LCMS-Aphid",-0.712101578712463,-0.809780497919067
"meso-diaminopimelate","LCMS-Aphid",-0.710879862308502,-0.808391198769213
"(3R5S)-3-hydroxy-1-pyrrolin...","LCMS-Aphid",-0.710164964199066,-0.807578238140664
"Nervonic acid","LCMS-Aphid",-0.703220725059509,-0.799681458248297
"2-iminoacetate","LCMS-Aphid",-0.703174352645874,-0.799628724934222
"kanosamine","LCMS-Aphid",-0.688721835613251,-0.783193757243205
"S-acetyldihydrolipoamide","LCMS-Aphid",-0.685951173305511,-0.780043043398162
"N-carbamoyl-L-aspartate","LCMS-Aphid",-0.684903144836426,-0.778851256943954
"CDP-ethanolamine","LCMS-Aphid",-0.684758603572845,-0.778686888966279
"indole-3-lactate","LCMS-Aphid",0.679271936416626,0.772447616094967
"D-alanyl-D-lactate","LCMS-Aphid",-0.671051800251007,-0.763099924478845
"glutathione disulfide","LCMS-Aphid",-0.664466261863708,-0.755611048293549
"DIMBOA-beta-D-glucoside","LCMS-Aphid",-0.654093861579895,-0.743815866654394
"6-deoxotyphasterol","LCMS-Aphid",-0.645580470561981,-0.734134694440268
"Prunin","LCMS-Aphid",-0.64552640914917,-0.734073217427588
"sn-glycero-3-phosphocholine","LCMS-Aphid",-0.644168496131897,-0.732529039585367
"L-ornithine","LCMS-Aphid",-0.642724573612213,-0.730887054323854
"dopamine 3-O-sulfate","LCMS-Aphid",-0.633988916873932,-0.720953128217461
"arachidate","LCMS-Aphid",-0.633511245250702,-0.720409934414127
"indole-3-glycol","LCMS-Aphid",-0.628620326519012,-0.714848128733271
"S-methyl-5'-thioadenosine","LCMS-Aphid",-0.626896679401398,-0.712888049072077
"7-Methylguanine","LCMS-Aphid",0.608672738075256,0.692164331105023
"a thiopurine S-methylether","LCMS-Aphid",0.606839537620544,0.690079670683843
"D-glyceraldehyde 3-phosphate","LCMS-Aphid",-0.60582572221756,-0.688926790299402
"L-pipecolate","LCMS-Aphid",-0.602126181125641,-0.684719783438242
"phosphate","LCMS-Aphid",-0.59623658657074,-0.678022313647721
"uracil","LCMS-Aphid",-0.58982115983963,-0.67072688332151
"guanine","LCMS-Aphid",-0.58929044008255,-0.670123364775854
"gamma-L-glutamyl-(S)-2-amin...","LCMS-Aphid",-0.582492828369141,-0.662393325182489
