"KEGG.id","Entry.type","KEGG.name","p.score"
"api01232","pathway","Nucleotide metabolism - Acyrthosiphon pisum (...",1e-06
"api04382","pathway","Cornified envelope formation - Acyrthosiphon ...",1e-06
"2.3.2.13","enzyme","protein-glutamine gamma-glutamyltransferase",1e-06
"2.6.1.42","enzyme","branched-chain-amino-acid transaminase",1e-06
"2.7.1.35","enzyme","pyridoxal kinase",1e-06
"3.1.3.5","enzyme","5'-nucleotidase",1e-06
"3.4.21.75","enzyme","furin",1e-06
"3.4.22.40","enzyme","bleomycin hydrolase",1e-06
"3.5.4.12","enzyme","dCMP deaminase",1e-06
"4.1.1.11","enzyme","aspartate 1-decarboxylase",1e-06
"4.1.1.15","enzyme","glutamate decarboxylase",1e-06
"4.1.1.29","enzyme","sulfinoalanine decarboxylase",1e-06
"R00220","reaction","L-serine ammonia-lyase",1e-06
"R00253","reaction","L-glutamate:ammonia ligase (ADP-forming)",1e-06
"R00277","reaction","pyridoxamine-5'-phosphate:oxygen oxidoreducta...",1e-06
"R00489","reaction","L-aspartate 1-carboxy-lyase (beta-alanine-for...",1e-06
"R00490","reaction","L-aspartate ammonia-lyase (fumarate-forming)",1e-06
"R00671","reaction","L-ornithine ammonia-lyase (cyclizing",1e-06
"R00894","reaction","L-glutamate:L-cysteine gamma-ligase (ADP-form...",1e-06
"R00974","reaction","cytosine aminohydrolase",1e-06
"R01137","reaction","ATP:dADP phosphotransferase",1e-06
"R01138","reaction","dATP:pyruvate 2-O-phosphotransferase",1e-06
"R01214","reaction","L-valine:2-oxoglutarate aminotransferase",1e-06
"R01215","reaction","L-valine:pyruvate aminotransferase",1e-06
"R01398","reaction","carbamoyl-phosphate:L-ornithine carbamoyltran...",1e-06
"R01570","reaction","thymidine:phosphate deoxy-alpha-D-ribosyltran...",1e-06
"R01771","reaction","ATP:L-homoserine O-phosphotransferase",1e-06
"R01777","reaction","succinyl-CoA:L-homoserine O-succinyltransfera...",1e-06
"R01974","reaction","3-(indol-3-yl)pyruvate carboxy-lyase [(2-indo...",1e-06
"R02173","reaction","tryptamine:oxygen oxidoreductase(deaminating)",1e-06
"R02323","reaction","nicotinamide ribonucleotide phosphohydrolase",1e-06
"R02493","reaction","ATP:pyridoxal 5'-phosphotransferase",1e-06
"R02494","reaction","pyridoxamine-5'-phosphate phosphohydrolase",1e-06
"R03132","reaction","O-acetyl-L-serine:thiosulfate 2-amino-2-carbo...",1e-06
"R03182","reaction","7,8-diaminononanoate:carbon-dioxide cyclo-lig...",1e-06
"R03260","reaction","O-succinyl-L-homoserine succinate-lyase (addi...",1e-06
"R04857","reaction","5-Ureido-4-imidazole carboxylate + H2O <=> 5-...",1e-06
"R05652","reaction","taurine:pyruvate aminotransferase",1e-06
"R08606","reaction","Indole-3-acetaldehyde oxime <=> Indole-3-acet...",1e-06
"R09978","reaction","7-carboxy-7-carbaguanine:ammonia ligase (ADP-...",1e-06
"R10089","reaction","D-ribose 5-phosphate,D-glyceraldehyde 3-phosp...",1e-06
"R10180","reaction","L-tryptophan:pyruvate aminotransferase",1e-06
"R12055","reaction","L-methionine:indole-3-pyruvic acid aminotrans...",1e-06
"R12092","reaction","thiosulfate:3-phospho-L-serine thiosulfotrans...",1e-06
"R12342","reaction","ADP:L-serine 3-phosphotransferase",1e-06
"R12344","reaction","ATP:L-serine 3-phosphotransferase",1e-06
"R12956","reaction","thymidine 5'-monophosphate phosphodeoxyribohy...",1e-06
"R13308","reaction","L-arginine aminodihydrolase (L-ornithine-form...",1e-06
"R13363","reaction","O-phospho-L-homoserine:L-cysteine S-(3-amino-...",1e-06
"C00346","compound","Ethanolamine phosphate",1e-06
